symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status,latest_date,latest_close,history_rows,avg_volume_50d,avg_traded_value_50d,liquidity_pass,risk_tier,liquidity_reason
CELLECOR,Cellecor Gadgets,18811,NSE_EQ,EQUITY,ES,ST,3000,,ACTIVE,2026-05-18,38.95,651,651300,21999093,True,HIGH,PASS
CELLO,Cello World,19795,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,387.15,626,359444,147744662,True,MEDIUM,PASS
CENTRUM,Centrum Capital,2454,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,22.92,1238,761862,19641197,True,HIGH,PASS
CENTUM,Centum Electronics,14982,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,2910.4,1238,75926,219859809,True,HIGH,PASS
CENTURYPLY,Century Plyboards,13305,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,769.65,1238,65848,48339971,True,HIGH,PASS
CEWATER,Concord Enviro Systems,28764,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,283.45,342,130393,35791685,True,HIGH,PASS
CHEMPLASTS,Chemplast Sanmar,5449,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,227.41,1172,376490,93189812,True,HIGH,PASS
CIFL,Capital India Finance,756015,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,26.9,268,392544,10565499,True,HIGH,PASS
CLSEL,Chaman Lal Setia Exports,3482,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,260.5,1238,115748,30491262,True,HIGH,PASS
CMSINFO,CMS Info Systems,7603,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,301.4,1083,681846,199433164,True,MEDIUM,PASS
COFFEEDAY,Coffee Day Enterprises,11165,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,23.95,1178,1287198,32414127,True,HIGH,PASS
CONFIPET,Confidence Petroleum,10238,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,61.6,1238,5446107,272368917,True,MEDIUM,PASS
CONNPLEX,Connplex Cinemas,758453,NSE_EQ,EQUITY,ES,SM,800,,ACTIVE,2026-05-18,231.95,185,62016,15344878,True,HIGH,PASS
CORDSCABLE,Cords Cable Industries,15271,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,191.82,1238,62528,11667682,True,HIGH,PASS
COSMOFIRST,Cosmo First,742,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,767.7,1238,101969,70525533,True,HIGH,PASS
CRAMC,Canara Robeco Asset Management Company,759311,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,230.9,143,575417,143178202,True,MEDIUM,PASS
CRIZAC,Crizac,757850,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,202.49,210,231226,47540539,True,HIGH,PASS
CSBBANK,CSB Bank,14966,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,354.35,1238,736640,275424977,True,MEDIUM,PASS
CSLFINANCE,CSL Finance,10350,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,225.03,945,57645,13583703,True,HIGH,PASS
CUBEXTUB,Cubex Tubings,4064,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,88.44,1238,171067,16309612,True,HIGH,PASS
CUPID,Cupid,18520,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,120.84,1239,19097824,1916665901,True,LOW,PASS
CYBERTECH,Cybertech Systems & Software,6051,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,139.34,1238,89782,11393529,True,HIGH,PASS
CYIENTDLM,Cyient DLM,17187,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,416.75,707,1563601,492821048,True,MEDIUM,PASS
DALMIASUG,Dalmia Bharat Sugar & Industries,781,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,336.15,1238,1238101,475252128,True,MEDIUM,PASS
DAMCAPITAL,DAM Capital Advisors,28662,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,148.92,342,696439,99797693,True,HIGH,PASS
DATAMATICS,Datamatics Global Services,11423,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,738.25,1239,105939,77140254,True,HIGH,PASS
DBCORP,DB Corp,17881,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,209.32,1238,148694,32258732,True,HIGH,PASS
DBL,Dilip Buildcon,18086,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,439.0,1238,220499,95893674,True,HIGH,PASS
