symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status
ARIHANTCAP,Arihant Capital Markets,3813,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARIHANTSUP,Arihant Superstructures,20159,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARIS,Arisinfra Solutions,757614,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARISTO,Aristo Bio-Tech & Lifescience,13931,NSE_EQ,EQUITY,ES,ST,800,,ACTIVE
ARKADE,Arkade Developers,25398,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARMANFIN,Arman Financial Services,17263,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARMOUR,Armour Security,760749,NSE_EQ,EQUITY,ES,SM,2000,,ACTIVE
AROGRANITE,Aro Granite Industries,14557,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARROWGREEN,Arrow Greentech,9260,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARSHIYA,Arshiya,29015,NSE_EQ,EQUITY,ES,BZ,1,,ACTIVE
ARSSBL,Anand Rathi Share & Stock Brokers,759956,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARTEMISMED,Artemis Medicare Services,16913,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARTNIRMAN,Art Nirman,6156,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARUNAYA,Arunaya Organics,756899,NSE_EQ,EQUITY,ES,ST,2000,,ACTIVE
ARVEE,Arvee Laboratories,2814,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARVIND,Arvind,193,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARVINDFASN,Arvind Fashions,9111,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARVINDPORT,Arvind port & Infra,19587,NSE_EQ,EQUITY,ES,ST,1500,,ACTIVE
ARVSMART,Arvind SmartSpaces,10457,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASAHIINDIA,Asahi India Glass,5378,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASAHISONG,Asahi Songwon Colors,25088,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASAL,Automotive Stampings & Assemblies,10634,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASALCBR,Associated Alcohols & Breweries,17598,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASCOM,Ascom Leasing & Investments,15030,NSE_EQ,EQUITY,ES,ST,500,,ACTIVE
ASHALOG,Ashapura Logistics,24711,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
ASHAPURMIN,Ashapura Minechem,203,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASHIANA,Ashiana Housing,24403,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASHIKA,Ashika Credit Capital,762548,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASHIMASYN,Ashima,206,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASHOKA,Ashoka Buildcon,20182,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASHOKAMET,Ashoka Metcast,16943,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASHOKLEY,Ashok Leyland,212,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASHWINI,Ashwini Container Movers,760418,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
ASIANENE,Asian Energy Services,7030,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASIANHOTNR,Asian Hotels (North),18422,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASIANPAINT,Asian Paints,236,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASIANTILES,Asian Granito,14889,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASKAUTOLTD,ASK Automotive,20152,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASMS,Bartronics,14064,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASPINWALL,Aspinwall & Co,17270,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASPIRE,Aspire & Innovative Advertising,23396,NSE_EQ,EQUITY,ES,SM,2000,,ACTIVE
ASTAR,Asian Star,762553,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASTEC,Astec Lifesciences,17728,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASTERDM,Aster DM Healthcare,1508,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASTRAL,Astral,14418,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASTRAMICRO,Astra Microwave Products,11618,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASTRAZEN,AstraZeneca Pharma,5610,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ASTRON,Astron Paper & Board Mill,880,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE
ATALREAL,Atal Realtech,15649,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATAM,Atam Valves,15404,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATCENERGY,ATC Energies System,756405,NSE_EQ,EQUITY,ES,ST,1200,,ACTIVE
ATGL,Adani Total Gas,6066,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATHERENERG,Ather Energy,757645,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATL,Allcargo Terminals,17778,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATLANTAA,Atlantaa,13585,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATLANTAELE,Atlanta Electricals,759007,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATLASCYCLE,Atlas Cycle (Haryana),4568,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ATLPP,Allcargo Terminals - PP,760953,NSE_EQ,EQUITY,ES,E1,1,,ACTIVE
